"Bond Series","Original Loan Amount","Loan Purchase Date ","Purchase Year","Original Loan To Value","Loan Type ","SONYMA DPAL/CCAL Amount","Original Term","County","FIPS Code","Number of Units","Property Type","Housing Type","Household Size "
"HMB Warehouse","$117,370","06/30/2016","2016","97%","Conventional","$3,630","360","Schuyler","36097","1 Family","Detached","Existing","1"
"HMB Warehouse","$83,000","06/30/2016","2016","89%","Conventional","$3,000","360","Chautauqua","36013","1 Family","Detached","Existing","1"
"HMB Warehouse","$133,860","06/30/2016","2016","97%","Conventional","$0","360","Livingston","36051","1 Family","Detached","Existing","2"
"HMB Warehouse","$127,300","06/30/2016","2016","95%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$74,150","06/30/2016","2016","78%","Conventional","$0","360","Rensselaer","36083","1 Family","Detached","Existing","3"
"HMB Warehouse","$101,850","06/30/2016","2016","97%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$228,800","06/30/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$269,950","06/30/2016","2016","61%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$95,220","06/30/2016","2016","90%","Conventional","$0","360","Chemung","36015","1 Family","Detached","Existing","4"
"HMB Warehouse","$233,000","06/30/2016","2016","89%","Conventional","$7,890","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$339,500","06/30/2016","2016","97%","Conventional","$10,500","360","Bronx","36005","1 Family","Attached","Existing","1"
"HMB Warehouse","$260,800","06/30/2016","2016","80%","Conventional","$9,780","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$72,700","06/30/2016","2016","96.93%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$290,000","06/30/2016","2016","79.89%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","New","2"
"HMB Warehouse","$110,000","06/30/2016","2016","25.53%","Conventional","$0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","$120,280","06/30/2016","2016","97%","Conventional","$3,720","360","Erie","36029","1 Family","Detached","Existing","4"
"HMB Warehouse","$210,000","06/30/2016","2016","50.5%","Conventional","$0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","$139,500","06/30/2016","2016","90%","Conventional","$0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$78,350","06/30/2016","2016","87.06%","Conventional","$2,700","360","Bronx","36005","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$32,883","06/30/2016","2016","97%","Conventional","$3,000","360","Chautauqua","36013","1 Family","Detached","Existing","5"
"HMB Warehouse","$151,499","06/30/2016","2016","97%","Conventional","$4,685","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$50,000","06/30/2016","2016","38.49%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$165,000","06/30/2016","2016","82.5%","Conventional","$6,000","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$224,000","06/30/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$92,700","06/30/2016","2016","90%","Conventional","$3,090","360","Westchester","36119","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$261,900","06/30/2016","2016","97%","Conventional","$8,100","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$63,050","06/30/2016","2016","97%","Conventional","$3,000","360","Chautauqua","36013","1 Family","Detached","Existing","4"
"HMB Warehouse","$190,000","06/30/2016","2016","62.5%","Conventional","$0","360","Kings","36047","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$143,560","06/30/2016","2016","97%","Conventional","$4,440","360","Rockland","36087","1 Family","Condominium","Existing","1"
"HMB Warehouse","$188,000","06/30/2016","2016","80%","Conventional","$0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$115,900","06/23/2016","2016","95%","Conventional","$3,660","360","Albany","36001","1 Family","Detached","Existing","2"
"HMB Warehouse","$140,600","06/23/2016","2016","97%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$216,000","06/23/2016","2016","90%","Conventional","$7,200","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","$84,875","06/23/2016","2016","97%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","3"
"HMB Warehouse","$64,500","06/23/2016","2016","96%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","$414,000","06/23/2016","2016","96%","Conventional","$12,900","360","Kings","36047","2 Family","Detached","Existing","4"
"HMB Warehouse","$210,000","06/23/2016","2016","79%","Conventional","$7,950","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$152,000","06/23/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$110,250","06/23/2016","2016","75%","Conventional","$0","360","Queens","36081","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$299,647","06/23/2016","2016","94%","Conventional","$9,600","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$105,600","06/23/2016","2016","80%","Conventional","$0","360","Queens","36081","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$72,750","06/23/2016","2016","97%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","$354,350","06/23/2016","2016","95%","Conventional","$11,190","360","Nassau","36059","2 Family","Attached","Existing","1"
"HMB Warehouse","$100,000","06/23/2016","2016","38%","Conventional","$0","360","Westchester","36119","1 Family","Detached","Existing","4"
